1,1,Fernando Mendoza,Indiana,QB,2026-04-07,,,Indiana,Big Ten,35
2,2,Arvell Reese,Ohio State,LB,2026-04-07,,,Ohio,Big Ten,35
3,3,David Bailey,Texas Tech,EDGE,2026-04-07,,,Texas,Big 12,35
4,4,Jeremiyah Love,Notre Dame,RB,2026-04-07,,,Indiana,FBS - Independent,35
5,5,Francis Mauigoa,Miami (FL),OT,2026-04-07,,,Florida,ACC,35
6,6,Sonny Styles,Ohio State,LB,2026-04-07,,,Ohio,Big Ten,35
7,7,Rueben Bain,Miami (FL),EDGE,2026-04-07,,,Florida,ACC,35
8,8,Carnell Tate,Ohio State,WR,2026-04-07,,,Ohio,Big Ten,35
9,9,Caleb Downs,Ohio State,S,2026-04-07,,,Ohio,Big Ten,35
10,10,Mansoor Delane,LSU,CB,2026-04-07,,,Louisiana,SEC,35
11,11,Monroe Freeling,Georgia,OT,2026-04-07,,,Georgia,SEC,30
12,12,Spencer Fano,Utah,OT,2026-04-07,,,Utah,Big 12,30
13,13,Makai Lemon,USC,WR,2026-04-07,,,California,Big Ten,30
14,14,Jermod McCoy,Tennessee,CB,2026-04-07,,,Tennessee,SEC,30
15,15,Jordyn Tyson,Arizona State,WR,2026-04-07,,,Arizona,Big 12,30
16,16,Olaivavega Ioane,Penn State,IOL,2026-04-07,,,Pennsylvania,Big Ten,30
17,17,Kenyon Sadiq,Oregon,TE,2026-04-07,,,Oregon,Big Ten,30
18,18,Dillon Thieneman,Oregon,S,2026-04-07,,,Oregon,Big Ten,30
19,19,Akheem Mesidor,Miami (FL),EDGE,2026-04-07,,,Florida,ACC,30
20,20,Keldric Faulk,Auburn,EDGE,2026-04-07,,,Alabama,SEC,30
21,21,Kadyn Proctor,Alabama,OT,2026-04-07,,,Alabama,SEC,30
22,22,Avieon Terrell,Clemson,CB,2026-04-07,,,South Carolina,ACC,30
23,23,Omar Cooper Jr.,Indiana,WR,2026-04-07,,,Indiana,Big Ten,30
24,24,Caleb Lomu,Utah,OT,2026-04-07,,,Utah,Big 12,30
25,25,Peter Woods,Clemson,DL,2026-04-07,,,South Carolina,ACC,30
26,26,Emmanuel McNeil-Warren,Toledo,S,2026-04-07,,,Ohio,FBS - MAC,25
27,27,Blake Miller,Clemson,OT,2026-04-07,,,South Carolina,ACC,25
28,28,T.J. Parker,Clemson,EDGE,2026-04-07,,,South Carolina,ACC,25
29,29,Kevin Concepcion,Texas A&M,WR,2026-04-07,,,Texas,SEC,25
30,30,Kayden McDonald,Ohio State,DL,2026-04-07,,,Ohio,Big Ten,25
